#"Mittelerde" publish
# Original source:
#
# Names based on Middle-Earth 
#      & the works of
#      J.R.R. Tolkien
# 
#   Adapted by John LaTemple
#   saxster@mindspring.com
#   http://www.thegumbiband.com/ultima
#
# Converted to TableSmith format by Bruce Gulke

:Start
1-20,{Cap~[Group1]}[Group3]
21-43,{Cap~[Group1]}[Group4]
44-60,{Cap~[Group1]}[Group5]
61-67,{Cap~[Group2]}[Group3]
68-75,{Cap~[Group2]}[Group4]
76-80,{Cap~[Group2]}[Group5]
81-86,{Cap~[Group6]}[Group3]
87-92,{Cap~[Group6]}[Group4]
93-97,{Cap~[Group6]}[Group5]
98-100,{Cap~[Group6]}

:Group1
1,adra
2,adûn
3,alc
4,ald
5,am
6,aman
7,an
8,anûr
9,anca
10,ancal
11,andîr
12,ang
13,ara
14,aran
15,aras
16,arc
17,art
18,arv
19,atan
20,bal
21,bando
22,bara
23,bel
24,bele
25,belec
26,bere
27,ber
28,blad
29,blan
30,bor
31,breg
32,bryt
33,buc
34,cali
35,calim
36,card
37,cast
38,cele
39,cem
40,cór
41,cirya
42,curu
43,dae
44,dir
45,dui
46,dùn
47,eâr
48,ecth
49,egal
50,el
51,eld
52,elen
53,eles
54,elf
55,eto
56,era
57,erken
58,fala
59,fara
60,fûa
61,fen
62,fin
63,finar
64,find
65,fîr
66,flad
67,folc
68,for
69,frer
70,gal
71,gam
72,gil
73,gimil
74,gir
75,gol
76,grim
77,gwir
78,had
79,hal
80,hard
81,here
82,her
83,heru
84,hir
85,hu
86,hîr
87,hyar
88,ia
89,imra
90,in
91,inzil
92,isen
93,ivor
94,kir
95,los
96,loth
97,luk
98,mab
99,mal
100,mar

:Group2
1,mel
2-3,menel
4-5,minal
6-7,minar
8-9,minas
10,mir
11-12,mor
13-14,nar
15,nim
16-17,oh
18-20,ond
21-22,orn
23-25,oro
26-27,ost
28-29,pal
30-31,pel
32-33,phar
34-35,rada
36-37,rom
38-39,ruin
40-41,sak
42-43,scath
44-45,shath
46-47,shril
48-49,shral
50-51,sirion
52-53,sór
54-55,sus
56-59,tar
60-61,tel
62-64,telem
65-68,then
69-72,thèo
73-74,thoron
75-76,thran
77-78,turam
79-82,tur
83-86,val
87-88,vala
89,vani
90-91,var
92,vidu
93-94,vor
95-96,wal
97-98,wim
99-100,zim

:Group3
1-2,a
3-4,acar
5-6,adin
7-8,adûn
9-10,agon
11-12,ahir
13-14,akhôr
15-16,alad
17-18,althîr
19-20,amir
21-22,andil
23-24,andur
25-26,arin
27-28,arion
29-30,asgil
31-32,atar
33,az�n
34-35,bar
36-37,barad
38-39,beorn
40-41,beth
42-43,bold
44-45,bor
46-47,brand
48-49,bras
50-51,brîan
52,brindor
53-54,ca
55,conus
56-57,car
58,chair
59-60,cho
61-62,cil
63-64,co
65-66,da
67-68,damir
69-70,dan
71-72,den
73-74,dil
75-76,dir
77-78,dor
79-80,dred
81-82,duil
83-84,dur
85,dwyn
86-87,edui
88-89,eg
90-91,egil
92-93,ehtar
94-95,eleb
96,eleg
97,elion
98,en
99,endacil
100,endil

:Group4
1-2,endur
3-4,eth
5-6,fara
7,garoth
8,gast
9,gavia
10-11,gel
12-13,glas
14-15,gold
16,golfin
17-18,gon
19-20,gond
21-22,gorn
23,goth
24-25,grim
26,had
27-28,hael
29,helm
30,her
31,here
32,hil
33,hild
34-35,hir
36-37,ian
38-39,îel
40-41,il
42-43,ith
44-45,imon
46-47,in
48-49,ing
50-51,ion
52,îriel
53,iryas
54,ladan
55,lôf
56-57,laith
58-59,las
60,lime
61-62,lin
63-64,ling
65-66,lir
67-68,long
69-70,lor
71-72,lung
73-74,lyrn
75,macil
76,maitic
77-78,mehtar
79,meldí
80,mendacil
81,mir
82-83,mond
84-85,moth
86,mund
87-88,nar
89-90,narth
91-92,nil
93,nûr
94,nor
95,nur
96-97,o
98,oher
99-100,olan

:Group5
1-2,onath
3-4,ondor
5-6,onui
7-8,onw�
9-12,or
13-14,orthin
15-16,perian
17-18,phant
19-20,pharn
21-22,phin
23-24,phir
25-26,phor
27-28,rathân
29-30,red
31-32,reth
33-34,rif
35-36,rin
37-38,rodel
39-40,rohir
41-42,ron
43-46,ros
47-50,roth
51-52,sar
53-54,stur
55-56,suil
57-60,ta
61-62,tan
63-66,tar
67-68,thor
69-70,tir
71-72,uir
73-74,ur
75-76,val
77-79,vas
80-81,vegil
82-83,vi
84-85,vir
86-87,vorn
88,we
89,wen
90,wine
91,winí
92,wing
93,wyn
94-95,yandil
96-97,zerian
98-100,zor

:Group6
1-3,bain
4-6,bard
7-9,brand
10-12,carc
13-15,dâin
16-18,dòor
19-21,dior
22-24,fléi
25-27,forn
28-30,fram
31-33,frâr
34-36,frâa
37-39,freca
40-42,fror
43-45,gram
46-48,grîr
49-51,hîma
52-54,helm
55-57,horn
58-60,huor
61-63,karc
64-66,lod
67-69,lani
70-72,mim
73-75,nuin
76-78,nûr
79-81,oromí
82-84,rorn
85-87,rul
88-90,thrùin
91-93,thrór
94-96,tuor
97-100,wulf


