#"Dinge" publish
;Start
1,{ChooseFrom~Arcana,BuildingF,BuildingM,BuildingN,Crafts,DarkF,DarkM,DarkN,ElementF,ElementM,ElementN,GeologyF,GeologyM,GeologyN,Gods,MiscF,MiscM,MiscN,PeopleF,PeopleM,PeopleN,PlaceF,PlaceM,PlaceN,ReligionF,ReligionM,ReligionN,Time,TravelF,TravelM,WeaponF,WeaponM,WeaponN}

;Plural
1,{ChooseFrom~BuildingPl,DarkPl,GeologyPl,MiscPl,PeoplePl,PlacePl,ReligionPl,TimePl,TravelPl,WeaponPl}

;Prefix
1,{ChooseFrom~ArcanaPr,BuildingPr,CraftsPr,DarkPr,ElementPr,GeologyPr,MiscPr,PeoplePr,PlacePr,ReligionPr,TimePr,TravelPr,WeaponPr}

;Genitiv
1-3,des [GenitivM]
1-2,der [GenitivF]
1,des [GenitivN]

;F
1,{ChooseFrom~BuildingF,DarkF,ElementF,GeologyF,MiscF,PeopleF,PlaceF,ReligionF,TravelF,WeaponF}

;M
1,{ChooseFrom~BuildingM,DarkM,ElementM,GeologyM,MiscM,PeopleM,PlaceM,ReligionM,TravelM,WeaponM}

;N
1,{ChooseFrom~BuildingN,DarkN,ElementN,GeologyN,MiscN,PeopleN,PlaceN,ReligionN,WeaponN}

;GenitivF
1,{ChooseFrom~BuildingGF,DarkGF,ElementGF,GeologyGF,MiscGF,PeopleGF,PlaceGF,ReligionGF,TravelGF,WeaponGF}

;GenitivM
1,{ChooseFrom~BuildingGM,DarkGM,ElementGM,GeologyGM,MiscGM,PeopleGM,PlaceGM,ReligionGM,TravelGM,WeaponGM}

;GenitivN
1,{ChooseFrom~BuildingGN,DarkGN,ElementGN,GeologyGN,MiscGN,PeopleGN,PlaceGN,ReligionGN,WeaponGN}

;Arcana
1,alchemie
1,beschwörung
1,bezauberung
1,druidenmagie
1,herbeirufung
1,hexerei
1,illusion
1,magie
1,naturmagie
1,necromantie
1,runenmagie
1,schwarzmagie
1,thaumaturgie
1,verwandlung
1,weissagung
1,zauberei

;ArcanaG
1,alchemie
1,beschwörung
1,bezauberung
1,druidenmagie
1,herbeirufung
1,hexerei
1,illusion
1,magie
1,naturmagie
1,necromantie
1,runenmagie
1,schwarzmagie
1,thaumaturgie
1,verwandlung
1,weissagung
1,zauberei

;ArcanaPr
1,alchemie
1,beschwörungs
1,bezauberungs
1,druidenmagie
1,herbeirufungs
1,hexerei
1,illusions
1,magie
1,naturmagie
1,necromantie
1,runenmagie
1,schwarzmagie
1,thaumaturgie
1,verwandlungs
1,weissagungs
1,zauberei

;BuildingF
1,abtei
1,festung
1,halle
1,kapelle
1,kirche
1,mühle
1,schmiede
1,stätte

;BuildingGF
1,abtei
1,festung
1,halle
1,kapelle
1,kirche
1,mühle
1,schmiede
1,stätte

;BuildingGM
1,hafens
1,hofs
1,schreins
1,tempels
1,turms
1,walls

;BuildingGN
1,aquedukts
1,gasthauses
1,gefängnisses
1,grabmals
1-2,hauses
1,herrenhauses
1,schlosses

;BuildingM
1,hafen
1,hof
1,schrein
1,tempel
1,turm
1,wall

;BuildingN
1,aquedukt
1,gasthaus
1,gefängnis
1,grabmal
1-2,haus
1,herrenhaus
1,schloss

;BuildingPl
1,abteien
1,aquedukte
1,festungen
1,gasthäuser
1,gefängnisse
1,grabmäler
1,hallen
1,herrenhäuser
1,häfen
1-2,häuser
1,höfe
1,kapellen
1,kirchen
1,mühlen
1,schlösser
1,schmieden
1,schreine
1,stätten
1,tempel
1,türme
1,wälle

;BuildingPr
1,abtei
1,aquedukt
1,festungs
1,gasthaus
1,gefängnis
1,grabmals
1,hafen
1,hallen
1-2,haus
1,herrenhaus
1,hof
1,kapellen
1,kirch
1,mühlen
1,schloss
1,schmiede
1,schrein
1,stätten
1,tempel
1,turm
1,wall

;Crafts
1,agrarwirtschaft
1,alchemie
1,assasination
1,backkunst
1,bildhauerei
1,brauerei
1,edelsteinschneiderei
1,fassbinderei
1,fischerei
1,gerberei
1,giftmischerei
1,kochkunst
1,korbflechterei
1,kräuterkunde
1,kürschnerei
1,malerei
1,mühlkunst
1,näherei
1,sattlerei
1,schlosserei
1,schmiedekunst
1,schusterei
1,seilerei
1,steinmetzkunst
1,tanzkunst
1,weberei
1,zieglerei
1,zimmerei

;CraftsG
1,agrarwirtschaft
1,alchemie
1,assasination
1,backkunst
1,bildhauerei
1,brauerei
1,edelsteinschneiderei
1,fassbinderei
1,fischerei
1,gerberei
